,Env
SRR5802245,Young
SRR5802285,Young
SRR5602255,Elder
SRR5601915,Young
SRR5580525,Young
SRR5802390,Young
SRR5610044,Young
SRR5580440,Young
C010,Centenarian
SRR5601923,Elder
SRR5601965,Elder
USinfTw21.1.418467,Young
C012,Centenarian
